,ApplicationSignedHour,ApplicationSignedWeekday,VerificationType,AppliedAmount,LanguageCode,Age,Gender,Country,LoanDuration,MonthlyPayment,UseOfLoan,Education,MaritalStatus,NrOfDependants,EmploymentStatus,EmploymentDurationCurrentEmployer,WorkExperience,OccupationArea,HomeOwnershipType,IncomeFromPrincipalEmployer,IncomeFromPension,IncomeFromFamilyAllowance,IncomeFromSocialWelfare,IncomeFromLeavePay,IncomeFromChildSupport,IncomeOther,IncomeTotal,ExistingLiabilities,LiabilitiesTotal,RefinanceLiabilities,DebtToIncome,FreeCash,MonthlyPaymentDay,NewCreditCustomer,NoOfPreviousLoansBeforeLoan,AmountOfPreviousLoansBeforeLoan,PreviousRepaymentsBeforeLoan,PreviousEarlyRepaymentsBefoleLoan,PreviousEarlyRepaymentsCountBeforeLoan,TARGET,EE,ES,FI,SK
1355,22.0,2.0,2.0,159.7791,1.0,19.0,1.0,EE,5.0,,7.0,2.0,3.0,0,,,LessThan2Years,,,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0,31.9558,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1356,23.0,2.0,2.0,639.1165,1.0,26.0,0.0,EE,9.0,,0.0,4.0,2.0,0,3.0,UpTo5Years,5To10Years,,,11500.0,0.0,0.0,0.0,0.0,0.0,1400.0,12900.0,0.0,0.0,0.0,0.0,0.0,20.0,True,1.0,127.8233,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1357,2.0,3.0,2.0,287.6024,1.0,19.0,0.0,EE,3.0,0.0,8.0,2.0,2.0,0,3.0,UpTo2Years,2To5Years,0.0,0.0,7000.0,0.0,0.0,0.0,0.0,0.0,5000.0,12000.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0,70.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1358,10.0,3.0,2.0,319.5582,1.0,18.0,1.0,EE,12.0,,7.0,2.0,1.0,1,,,LessThan2Years,,,3600.0,0.0,0.0,0.0,0.0,0.0,300.0,3900.0,0.0,0.0,0.0,0.0,0.0,13.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1359,10.0,4.0,2.0,447.3815,1.0,19.0,0.0,EE,24.0,,0.0,2.0,3.0,1,3.0,UpTo2Years,2To5Years,,,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,7500.0,0.0,0.0,0.0,0.0,0.0,10.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1360,12.0,4.0,2.0,159.7791,1.0,42.0,1.0,EE,3.0,,0.0,4.0,4.0,0,2.0,UpTo3Years,10To15Years,,,7000.0,0.0,0.0,0.0,0.0,0.0,4550.0,11550.0,0.0,0.0,0.0,0.0,0.0,25.0,True,1.0,159.7792,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1361,21.0,4.0,2.0,332.3406,1.0,19.0,0.0,EE,4.0,,8.0,2.0,2.0,0,3.0,UpTo2Years,2To5Years,,,7000.0,0.0,0.0,0.0,0.0,0.0,5000.0,12000.0,0.0,0.0,0.0,0.0,0.0,20.0,True,2.0,357.89,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1362,19.0,5.0,2.0,127.8233,1.0,54.0,1.0,EE,2.0,,7.0,5.0,5.0,0,3.0,MoreThan5Years,MoreThan25Years,,,10500.0,0.0,0.0,0.0,0.0,0.0,7000.0,17500.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1363,20.0,5.0,2.0,127.8233,1.0,36.0,0.0,EE,3.0,0.0,7.0,5.0,1.0,0,3.0,,LessThan2Years,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,4200.0,10200.0,0.0,0.0,0.0,0.0,0.0,6.0,True,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1364,21.0,6.0,2.0,191.7349,1.0,27.0,0.0,EE,3.0,,7.0,4.0,3.0,0,3.0,UpTo2Years,5To10Years,,,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,11000.0,0.0,0.0,0.0,0.0,0.0,20.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
