,VerificationType,AppliedAmount,LanguageCode,Age,Gender,Country,LoanDuration,MonthlyPayment,UseOfLoan,Education,MaritalStatus,NrOfDependants,EmploymentStatus,EmploymentDurationCurrentEmployer,WorkExperience,OccupationArea,HomeOwnershipType,IncomeFromPrincipalEmployer,IncomeFromPension,IncomeFromFamilyAllowance,IncomeFromSocialWelfare,IncomeFromLeavePay,IncomeFromChildSupport,IncomeOther,IncomeTotal,ExistingLiabilities,LiabilitiesTotal,RefinanceLiabilities,DebtToIncome,FreeCash,NewCreditCustomer,NoOfPreviousLoansBeforeLoan,AmountOfPreviousLoansBeforeLoan,PreviousRepaymentsBeforeLoan,PreviousEarlyRepaymentsBefoleLoan,PreviousEarlyRepaymentsCountBeforeLoan,DEFAULT,NrDependantsGiven
1180,IncomeExpensesVerified,3720.0,Spanish,33,Male,ES,48,236.0,Home improvement,Business,Single,0,Partially employed,UpTo2Years,10To15Years,Other,Living with Parents,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,8,1176.0,2,64.09,13.0,1,0.0,0.0,0.0,0.0,0.0,1,0
1182,IncomeUnverified,4000.0,Estonian,40,Female,EE,36,171.25,Business,Business,Single,2,Entrepreneur,UpTo4Years,15To25Years,Hospitality and catering,Owner,200.0,0.0,0.0,0.0,600.0,0.0,0.0,800.0,2,365.0,0,35.78,263.75,1,0.0,0.0,0.0,6000.0,1.0,0,0
1184,IncomeExpensesVerified,800.0,Estonian,37,Female,EE,60,25.07,Vehicle,Home improvement,Married,2,Fully employed,UpTo4Years,15To25Years,Processing,Owner with Encumbrance,653.0,0.0,190.0,0.0,0.0,0.0,0.0,843.0,12,830.57,1,69.95,1.36,0,1.0,1000.0,839.52,800.0,1.0,0,0
1187,IncomeVerified,1500.0,Estonian,49,Male,EE,60,44.46,Home improvement,Travel,Divorced,0,Fully employed,UpTo1Year,MoreThan25Years,Retail and wholesale,Owner,794.0,0.0,0.0,0.0,0.0,0.0,0.0,794.0,5,784.65,1,45.23,64.89,0,1.0,8140.0,4037.02,3500.0,1.0,0,0
1188,IncomeUnverified,700.0,Estonian,23,Female,EE,48,34.86,Home improvement,EducationLoan,Single,1,Fully employed,TrialPeriod,LessThan2Years,Other,"Tenant, Pre-furnished Property",600.0,0.0,45.0,0.0,0.0,100.0,0.0,745.0,1,250.0,0,4.68,460.14,1,0.0,0.0,0.0,1410.0,2.0,0,0
1189,IncomeVerified,2000.0,Estonian,33,Female,EE,36,83.13,Business,EducationLoan,Married,1,Entrepreneur,MoreThan5Years,10To15Years,Finance and insurance,Owner with Encumbrance,300.0,0.0,45.0,0.0,0.0,0.0,0.0,345.0,1,250.0,0,24.1,11.87,1,0.0,0.0,0.0,2000.0,1.0,0,0
1190,IncomeUnverified,500.0,Estonian,24,Female,EE,6,92.13,Other,Home improvement,Cohabitant,0,Fully employed,TrialPeriod,2To5Years,Retail and wholesale,"Tenant, Pre-furnished Property",580.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,4,347.0,0,32.61,140.87,0,1.0,500.0,564.84,600.0,1.0,0,0
1191,IncomeUnverified,318.0,Estonian,32,Male,EE,60,11.85,NoUseOfLoanGiven,NoEducationGiven,NoMaritalStatusGiven,0,NoEmploymentStatusGiven,,,NoOccupationAreaGiven,Living with Parents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,4.0,12757.0,1121.37,,0.0,0,1
1192,IncomeExpensesVerified,2655.0,Spanish,31,Female,ES,60,105.79,Home improvement,Travel,Cohabitant,1,Fully employed,UpTo5Years,5To10Years,CivilService,Owner,1584.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,6,1719.0,1,50.49,309.21,1,0.0,0.0,0.0,0.0,0.0,0,0
1193,IncomeUnverified,9800.0,Russian,31,Male,EE,60,383.29,Business,Home improvement,Married,1,Entrepreneur,UpTo5Years,5To10Years,Construction,Owner,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1,360.0,0,31.94,456.71,1,0.0,0.0,0.0,29260.0,3.0,0,0
1194,IncomeVerified,7500.0,Finnish,32,Female,FI,60,266.18,Other,Business,Cohabitant,2,Fully employed,MoreThan5Years,5To10Years,Other,"Tenant, Pre-furnished Property",1465.0,0.0,200.0,0.0,0.0,0.0,0.0,1665.0,1,500.0,0,15.99,898.82,1,0.0,0.0,0.0,7500.0,1.0,1,0
1196,IncomeUnverified,4675.0,Estonian,51,Male,EE,60,154.33,Home improvement,Business,Married,0,Fully employed,MoreThan5Years,MoreThan25Years,Transport and warehousing,Owner,850.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,4,522.12,1,30.76,333.55,0,1.0,2200.0,267.64,0.0,0.0,0,0
1199,IncomeExpensesVerified,2655.0,Estonian,46,Male,EE,60,67.35,Other,EducationLoan,Married,1,Fully employed,UpTo1Year,10To15Years,CivilService,Owner,1300.0,0.0,0.0,0.0,0.0,0.0,200.0,1500.0,4,1572.0,1,8.29,448.65,1,0.0,0.0,0.0,0.0,0.0,0,0
1201,IncomeExpensesVerified,600.0,Estonian,22,Female,EE,60,21.63,Home improvement,EducationLoan,Cohabitant,1,Fully employed,TrialPeriod,2To5Years,Retail and wholesale,Living with Parents,340.0,0.0,83.0,0.0,0.0,320.0,0.0,743.0,2,310.0,0,10.99,411.37,1,0.0,0.0,0.0,1100.0,2.0,0,0
1202,IncomeExpensesVerified,5315.0,Finnish,62,Male,FI,60,153.93,Loan consolidation,Business,Divorced,0,Fully employed,UpTo3Years,MoreThan25Years,Research,"Tenant, unfurnished Property",1900.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,11,2049.05,2,54.89,287.02,0,2.0,5750.0,1469.89,0.0,0.0,0,0
1203,IncomeUnverified,1000.0,Estonian,66,Female,EE,60,30.53,Other,Home improvement,Divorced,0,Fully employed,MoreThan5Years,10To15Years,Education,"Tenant, Pre-furnished Property",370.0,360.0,0.0,26.0,0.0,0.0,0.0,756.0,8,741.93,1,55.75,84.54,0,1.0,2500.0,246.36,1000.0,1.0,1,0
1205,IncomeExpensesVerified,3190.0,Spanish,25,Male,ES,60,162.12,Travel,Business,Single,0,Fully employed,UpTo5Years,5To10Years,Other,Living with Parents,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8,1692.0,2,60.41,45.88,1,0.0,0.0,0.0,0.0,0.0,1,0
1206,IncomeVerified,500.0,Spanish,37,Female,ES,60,26.42,Loan consolidation,EducationLoan,Married,2,Fully employed,UpTo5Years,15To25Years,CivilService,Mortgage,1104.0,0.0,0.0,0.0,0.0,0.0,0.0,1104.0,5,1034.0,0,32.1,43.58,1,0.0,0.0,0.0,0.0,0.0,0,0
1207,IncomeExpensesVerified,10000.0,Estonian,35,Female,EE,60,297.29,Real estate,Travel,Single,1,Fully employed,UpTo4Years,15To25Years,Finance and insurance,Owner,940.0,0.0,64.0,0.0,0.0,0.0,0.0,1004.0,2,390.0,1,29.61,405.71,0,1.0,500.0,538.13,0.0,0.0,0,0
1208,IncomeVerified,6910.0,Spanish,36,Female,ES,60,451.73,Other,Business,Single,0,Fully employed,UpTo2Years,10To15Years,Other,Living with Parents,877.0,0.0,0.0,0.0,0.0,0.0,0.0,877.0,2,411.01,0,58.47,14.26,0,2.0,1700.0,1092.2,1600.0,1.0,1,0
1209,IncomeUnverified,5316.0,Estonian,43,Female,EE,60,146.83,NoUseOfLoanGiven,NoEducationGiven,NoMaritalStatusGiven,0,NoEmploymentStatusGiven,,,NoOccupationAreaGiven,Council House,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,3.0,7973.0,2785.42,,0.0,0,1
1210,IncomeUnverified,500.0,Estonian,52,Male,EE,36,21.41,Other,Business,Single,0,Fully employed,MoreThan5Years,MoreThan25Years,Other,Owner,600.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,1,250.0,0,3.57,328.59,1,0.0,0.0,0.0,3000.0,1.0,0,0
